dataset	model	baseline	TP	FP	TN	FN	Precision	Recall	F1	Coverage	Acc@Cov	Overall_Acc	Decision_Acc	AUROC
frames	qwen-qwen3-8b	self_consistency	98	4	30	161	0.961	0.378	0.543	0.652	0.157	0.102	0.437	0.6304
frames	qwen-qwen3-32b	ays	185	13	29	66	0.934	0.737	0.824	0.324	0.305	0.099	0.73	0.7138
frames	qwen-qwen3-32b	IC-IDK	24	2	40	227	0.923	0.096	0.173	0.911	0.15	0.137	0.218	0.524
frames	qwen-qwen3-32b	pairwise_assistive	223	18	24	28	0.925	0.888	0.907	0.177	0.462	0.082	0.843	0.7299
frames	qwen-qwen3-32b	pairwise_incremental	234	21	21	16	0.918	0.936	0.927	0.127	0.568	0.072	0.873	0.718
frames	qwen-qwen3-32b	pairwise_model_generated	227	26	16	24	0.897	0.904	0.901	0.137	0.4	0.055	0.829	0.6427
frames	qwen-qwen3-32b	self_consistency	112	3	39	139	0.974	0.446	0.612	0.608	0.219	0.133	0.515	0.6874
hotpotqa	google-gemini-2-5-flash	ays	33	12	150	79	0.733	0.295	0.42	0.836	0.655	0.547	0.668	0.6103
hotpotqa	google-gemini-2-5-flash	ic_idk	26	4	158	86	0.867	0.232	0.366	0.891	0.648	0.577	0.672	0.6037
hotpotqa	google-gemini-2-5-flash	pairwise_assistive	72	25	137	40	0.742	0.643	0.689	0.646	0.774	0.5	0.763	0.7443
hotpotqa	google-gemini-2-5-flash	pairwise_incremental	79	40	122	33	0.664	0.705	0.684	0.566	0.787	0.445	0.734	0.7292
hotpotqa	google-gemini-2-5-flash	pairwise_model_generated	71	48	114	41	0.597	0.634	0.615	0.566	0.735	0.416	0.675	0.6688
hotpotqa	google-gemini-2-5-flash	self_consistency	35	8	104	38	0.814	0.479	0.603	0.768	0.732	0.562	0.751	0.704
hotpotqa	google-gemini-2-5-pro	ays	20	7	173	72	0.741	0.217	0.336	0.901	0.706	0.636	0.71	0.5893
hotpotqa	google-gemini-2-5-pro	ic_idk	18	3	177	74	0.857	0.196	0.319	0.923	0.705	0.651	0.717	0.5895
hotpotqa	google-gemini-2-5-pro	pairwise_assistive	61	14	168	31	0.813	0.663	0.731	0.726	0.844	0.613	0.836	0.7931
hotpotqa	google-gemini-2-5-pro	pairwise_incremental	54	21	161	38	0.72	0.587	0.647	0.726	0.809	0.588	0.785	0.7358
hotpotqa	google-gemini-2-5-pro	pairwise_model_generated	65	62	120	27	0.512	0.707	0.594	0.536	0.816	0.438	0.675	0.6829
hotpotqa	google-gemini-2-5-pro	self_consistency	20	4	118	43	0.833	0.317	0.46	0.87	0.733	0.638	0.746	0.6423
hotpotqa	google-gemma-3-4b-it	ays	64	5	38	167	0.928	0.277	0.427	0.748	0.185	0.139	0.372	0.5804
hotpotqa	google-gemma-3-4b-it	ic_idk	32	1	43	198	0.97	0.139	0.243	0.88	0.178	0.157	0.274	0.5582
hotpotqa	google-gemma-3-4b-it	pairwise_assistive	111	10	33	120	0.917	0.481	0.631	0.558	0.216	0.12	0.526	0.624
hotpotqa	google-gemma-3-4b-it	pairwise_incremental	102	9	34	129	0.919	0.442	0.596	0.595	0.209	0.124	0.496	0.6161
hotpotqa	google-gemma-3-4b-it	pairwise_model_generated	127	14	29	104	0.901	0.55	0.683	0.485	0.218	0.106	0.569	0.6121
hotpotqa	google-gemma-3-4b-it	self_consistency	1	0	30	154	1.0	0.006	0.013	0.995	0.163	0.162	0.168	0.5032
hotpotqa	gpt-5-1	ays	26	4	198	46	0.867	0.361	0.51	0.891	0.811	0.723	0.818	0.6707
hotpotqa	gpt-5-1	ic_idk	34	12	190	38	0.739	0.472	0.576	0.832	0.833	0.693	0.818	0.7064
hotpotqa	gpt-5-1	pairwise_assistive	33	11	122	19	0.75	0.635	0.688	0.762	0.865	0.659	0.838	0.776
hotpotqa	gpt-5-1	pairwise_incremental	31	8	125	21	0.795	0.596	0.681	0.789	0.856	0.676	0.843	0.768
hotpotqa	gpt-5-1	pairwise_model_generated	33	18	115	19	0.647	0.635	0.641	0.724	0.858	0.622	0.8	0.7496
hotpotqa	meta-llama-llama-3-1-8b-instruct	ays	108	14	54	98	0.885	0.524	0.659	0.555	0.355	0.197	0.591	0.6592
hotpotqa	meta-llama-llama-3-1-8b-instruct	ic_idk	4	0	70	200	1.0	0.02	0.038	0.985	0.259	0.255	0.27	0.5098
hotpotqa	meta-llama-llama-3-1-8b-instruct	pairwise_assistive	159	16	52	47	0.909	0.772	0.835	0.361	0.525	0.19	0.77	0.7683
hotpotqa	meta-llama-llama-3-1-8b-instruct	pairwise_incremental	160	21	47	46	0.884	0.777	0.827	0.339	0.505	0.172	0.755	0.7339
hotpotqa	meta-llama-llama-3-1-8b-instruct	pairwise_model_generated	170	36	32	36	0.825	0.825	0.825	0.248	0.471	0.117	0.737	0.6479
hotpotqa	meta-llama-llama-3-1-8b-instruct	self_consistency	9	0	49	127	1.0	0.066	0.124	0.951	0.278	0.265	0.314	0.5331
hotpotqa	meta-llama-llama-3-3-70b-instruct	ays	64	17	94	98	0.79	0.395	0.527	0.703	0.49	0.344	0.579	0.621
hotpotqa	meta-llama-llama-3-3-70b-instruct	ic_idk	115	32	79	47	0.782	0.71	0.744	0.462	0.627	0.289	0.711	0.7108
hotpotqa	meta-llama-llama-3-3-70b-instruct	pairwise_assistive	137	25	86	26	0.846	0.84	0.843	0.409	0.768	0.314	0.814	0.8076
hotpotqa	meta-llama-llama-3-3-70b-instruct	pairwise_incremental	130	26	85	33	0.833	0.798	0.815	0.431	0.72	0.31	0.785	0.7817
hotpotqa	meta-llama-llama-3-3-70b-instruct	pairwise_model_generated	139	55	56	24	0.716	0.853	0.779	0.292	0.7	0.204	0.712	0.6786
hotpotqa	meta-llama-llama-3-3-70b-instruct	self_consistency	7	1	76	101	0.875	0.065	0.121	0.957	0.429	0.411	0.449	0.5259
hotpotqa	mistralai-mistral-7b-instruct-v0-3	ays	95	11	54	114	0.896	0.455	0.603	0.613	0.321	0.197	0.544	0.6427
hotpotqa	mistralai-mistral-7b-instruct-v0-3	ic_idk	21	1	64	188	0.955	0.1	0.182	0.92	0.254	0.234	0.31	0.5425
hotpotqa	mistralai-mistral-7b-instruct-v0-3	pairwise_assistive	126	15	50	83	0.894	0.603	0.72	0.485	0.376	0.182	0.642	0.6861
hotpotqa	mistralai-mistral-7b-instruct-v0-3	pairwise_incremental	114	20	45	95	0.851	0.545	0.665	0.511	0.321	0.164	0.58	0.6189
hotpotqa	mistralai-mistral-7b-instruct-v0-3	pairwise_model_generated	109	19	46	100	0.852	0.522	0.647	0.533	0.315	0.168	0.566	0.6146
hotpotqa	mistralai-mistral-7b-instruct-v0-3	self_consistency	23	0	43	119	1.0	0.162	0.279	0.876	0.265	0.232	0.357	0.581
hotpotqa	qwen-qwen2-5-72b-instruct	ays	122	23	72	56	0.841	0.685	0.755	0.469	0.562	0.264	0.711	0.7216
hotpotqa	qwen-qwen2-5-72b-instruct	ic_idk	73	8	88	104	0.901	0.412	0.566	0.703	0.458	0.322	0.59	0.6645
hotpotqa	qwen-qwen2-5-72b-instruct	pairwise_assistive	150	28	67	29	0.843	0.838	0.84	0.35	0.698	0.245	0.792	0.7716
hotpotqa	qwen-qwen2-5-72b-instruct	pairwise_incremental	151	29	66	28	0.839	0.844	0.841	0.343	0.702	0.241	0.792	0.7692
hotpotqa	qwen-qwen2-5-72b-instruct	pairwise_model_generated	160	53	42	19	0.751	0.894	0.816	0.223	0.689	0.153	0.737	0.668
hotpotqa	qwen-qwen2-5-72b-instruct	self_consistency	29	2	61	93	0.935	0.238	0.379	0.832	0.396	0.33	0.486	0.603
hotpotqa	qwen-qwen3-32b	ays	91	6	78	99	0.938	0.479	0.634	0.646	0.441	0.285	0.617	0.7038
hotpotqa	qwen-qwen3-32b	ic_idk	12	1	77	184	0.923	0.061	0.115	0.953	0.295	0.281	0.325	0.5242
hotpotqa	qwen-qwen3-32b	pairwise_assistive	157	25	61	31	0.863	0.835	0.849	0.336	0.663	0.223	0.796	0.7722
hotpotqa	qwen-qwen3-32b	pairwise_incremental	158	27	59	30	0.854	0.84	0.847	0.325	0.663	0.215	0.792	0.7632
hotpotqa	qwen-qwen3-32b	pairwise_model_generated	160	39	47	28	0.804	0.851	0.827	0.274	0.627	0.172	0.755	0.6988
hotpotqa	qwen-qwen3-32b	self_consistency	8	0	56	121	1.0	0.062	0.117	0.957	0.316	0.303	0.346	0.531
hotpotqa	qwen-qwen3-8b	ays	139	13	46	76	0.914	0.647	0.757	0.445	0.377	0.168	0.675	0.7131
hotpotqa	qwen-qwen3-8b	ic_idk	100	10	50	114	0.909	0.467	0.617	0.599	0.305	0.182	0.547	0.6503
hotpotqa	qwen-qwen3-8b	pairwise_assistive	178	18	41	37	0.908	0.828	0.866	0.285	0.526	0.15	0.799	0.7614
hotpotqa	qwen-qwen3-8b	pairwise_incremental	171	23	36	44	0.881	0.795	0.836	0.292	0.45	0.131	0.755	0.7028
hotpotqa	qwen-qwen3-8b	pairwise_model_generated	187	25	34	28	0.882	0.87	0.876	0.226	0.548	0.124	0.807	0.723
hotpotqa	qwen-qwen3-8b	self_consistency	17	0	40	128	1.0	0.117	0.21	0.908	0.238	0.216	0.308	0.5586
mintaka	google-gemini-2-5-flash	ays	23	18	227	30	0.561	0.434	0.489	0.862	0.883	0.762	0.839	0.6802
mintaka	google-gemini-2-5-flash	ic_idk	6	8	240	44	0.429	0.12	0.188	0.953	0.845	0.805	0.826	0.5439
mintaka	google-gemini-2-5-flash	pairwise_assistive	24	14	230	30	0.632	0.444	0.522	0.872	0.885	0.772	0.852	0.6935
mintaka	google-gemini-2-5-flash	pairwise_incremental	19	14	230	35	0.576	0.352	0.437	0.889	0.868	0.772	0.836	0.6472
mintaka	google-gemini-2-5-flash	pairwise_model_generated	17	24	220	37	0.415	0.315	0.358	0.862	0.856	0.738	0.795	0.6082
mintaka	google-gemini-2-5-flash	self_consistency	5	13	229	46	0.278	0.098	0.145	0.939	0.833	0.782	0.799	0.5222
mintaka	google-gemini-2-5-pro	ays	15	19	232	32	0.441	0.319	0.37	0.886	0.879	0.779	0.829	0.6217
mintaka	google-gemini-2-5-pro	ic_idk	12	5	248	33	0.706	0.267	0.387	0.943	0.883	0.832	0.872	0.6235
mintaka	google-gemini-2-5-pro	pairwise_assistive	14	13	238	33	0.519	0.298	0.378	0.909	0.878	0.799	0.846	0.623
mintaka	google-gemini-2-5-pro	pairwise_incremental	15	8	243	32	0.652	0.319	0.429	0.923	0.884	0.815	0.866	0.6436
mintaka	google-gemini-2-5-pro	pairwise_model_generated	26	100	151	21	0.206	0.553	0.301	0.577	0.878	0.507	0.594	0.5774
mintaka	google-gemini-2-5-pro	self_consistency	4	1	248	40	0.8	0.091	0.163	0.983	0.861	0.846	0.86	0.5434
mintaka	google-gemma-3-4b-it	ays	83	9	49	157	0.902	0.346	0.5	0.691	0.238	0.164	0.443	0.5953
mintaka	google-gemma-3-4b-it	ic_idk	44	6	53	195	0.88	0.184	0.304	0.832	0.214	0.178	0.326	0.5412
mintaka	google-gemma-3-4b-it	pairwise_assistive	49	2	56	191	0.961	0.204	0.337	0.829	0.227	0.188	0.352	0.5848
mintaka	google-gemma-3-4b-it	pairwise_incremental	55	5	53	185	0.917	0.229	0.367	0.799	0.223	0.178	0.362	0.5715
mintaka	google-gemma-3-4b-it	pairwise_model_generated	64	7	51	176	0.901	0.267	0.412	0.762	0.225	0.171	0.386	0.573
mintaka	google-gemma-3-4b-it	self_consistency	4	0	57	232	1.0	0.017	0.033	0.986	0.197	0.195	0.208	0.5085
mintaka	gpt-5-1	ays	17	23	234	24	0.425	0.415	0.42	0.866	0.907	0.785	0.842	0.6626
mintaka	gpt-5-1	ic_idk	11	19	238	30	0.367	0.268	0.31	0.899	0.888	0.799	0.836	0.5972
mintaka	gpt-5-1	pairwise_assistive	13	6	246	28	0.684	0.317	0.433	0.935	0.898	0.84	0.884	0.6466
mintaka	gpt-5-1	pairwise_incremental	16	9	243	25	0.64	0.39	0.485	0.915	0.907	0.829	0.884	0.6773
mintaka	gpt-5-1	pairwise_model_generated	17	24	228	24	0.415	0.415	0.415	0.86	0.905	0.778	0.836	0.6597
mintaka	gpt-5-1	self_consistency	6	8	244	35	0.429	0.146	0.218	0.952	0.875	0.833	0.853	0.5573
mintaka	meta-llama-llama-3-1-8b-instruct	ays	109	18	80	91	0.858	0.545	0.667	0.574	0.468	0.268	0.634	0.6807
mintaka	meta-llama-llama-3-1-8b-instruct	ic_idk	14	3	98	183	0.824	0.071	0.131	0.943	0.349	0.329	0.376	0.5207
mintaka	meta-llama-llama-3-1-8b-instruct	pairwise_assistive	152	16	82	48	0.905	0.76	0.826	0.436	0.631	0.275	0.785	0.7984
mintaka	meta-llama-llama-3-1-8b-instruct	pairwise_incremental	147	15	83	53	0.907	0.735	0.812	0.456	0.61	0.279	0.772	0.791
mintaka	meta-llama-llama-3-1-8b-instruct	pairwise_model_generated	166	42	56	34	0.798	0.83	0.814	0.302	0.622	0.188	0.745	0.7007
mintaka	meta-llama-llama-3-1-8b-instruct	self_consistency	16	0	97	180	1.0	0.082	0.151	0.945	0.35	0.331	0.386	0.5408
mintaka	meta-llama-llama-3-3-70b-instruct	ays	43	19	166	70	0.694	0.381	0.491	0.792	0.703	0.557	0.701	0.6389
mintaka	meta-llama-llama-3-3-70b-instruct	ic_idk	75	52	130	41	0.591	0.647	0.617	0.574	0.76	0.436	0.688	0.6804
mintaka	meta-llama-llama-3-3-70b-instruct	pairwise_assistive	83	17	165	33	0.83	0.716	0.769	0.664	0.833	0.554	0.832	0.8111
mintaka	meta-llama-llama-3-3-70b-instruct	pairwise_incremental	89	20	162	27	0.817	0.767	0.791	0.634	0.857	0.544	0.842	0.8287
mintaka	meta-llama-llama-3-3-70b-instruct	pairwise_model_generated	83	18	164	33	0.822	0.716	0.765	0.661	0.832	0.55	0.829	0.8083
mintaka	meta-llama-llama-3-3-70b-instruct	self_consistency	5	1	178	109	0.833	0.044	0.083	0.98	0.62	0.608	0.625	0.5191
mintaka	mistralai-mistral-7b-instruct-v0-3	ays	52	12	111	123	0.812	0.297	0.435	0.785	0.474	0.372	0.547	0.5998
mintaka	mistralai-mistral-7b-instruct-v0-3	ic_idk	37	5	117	139	0.881	0.21	0.339	0.859	0.457	0.393	0.517	0.5846
mintaka	mistralai-mistral-7b-instruct-v0-3	pairwise_assistive	67	12	108	111	0.848	0.376	0.521	0.735	0.493	0.362	0.587	0.6382
mintaka	mistralai-mistral-7b-instruct-v0-3	pairwise_incremental	64	22	98	114	0.744	0.36	0.485	0.711	0.462	0.329	0.544	0.5881
mintaka	mistralai-mistral-7b-instruct-v0-3	pairwise_model_generated	57	13	107	121	0.814	0.32	0.46	0.765	0.469	0.359	0.55	0.6059
mintaka	mistralai-mistral-7b-instruct-v0-3	self_consistency	25	1	118	149	0.962	0.144	0.25	0.911	0.442	0.403	0.488	0.5676
mintaka	qwen-qwen2-5-72b-instruct	ays	93	39	117	49	0.705	0.655	0.679	0.557	0.705	0.393	0.705	0.7025
mintaka	qwen-qwen2-5-72b-instruct	ic_idk	37	13	144	104	0.74	0.262	0.387	0.832	0.581	0.483	0.607	0.5898
mintaka	qwen-qwen2-5-72b-instruct	pairwise_assistive	109	17	139	33	0.865	0.768	0.813	0.577	0.808	0.466	0.832	0.8293
mintaka	qwen-qwen2-5-72b-instruct	pairwise_incremental	110	16	141	31	0.873	0.78	0.824	0.577	0.82	0.473	0.842	0.8391
mintaka	qwen-qwen2-5-72b-instruct	pairwise_model_generated	114	17	140	27	0.87	0.809	0.838	0.56	0.838	0.47	0.852	0.8501
mintaka	qwen-qwen2-5-72b-instruct	self_consistency	19	9	145	120	0.679	0.137	0.228	0.904	0.547	0.495	0.56	0.5391
mintaka	qwen-qwen3-32b	ays	97	18	94	89	0.843	0.522	0.645	0.614	0.514	0.315	0.641	0.6804
mintaka	qwen-qwen3-32b	ic_idk	19	0	99	180	1.0	0.095	0.174	0.936	0.355	0.332	0.396	0.5477
mintaka	qwen-qwen3-32b	pairwise_assistive	152	20	95	31	0.884	0.831	0.856	0.423	0.754	0.319	0.829	0.8283
mintaka	qwen-qwen3-32b	pairwise_incremental	152	23	92	31	0.869	0.831	0.849	0.413	0.748	0.309	0.819	0.8153
mintaka	qwen-qwen3-32b	pairwise_model_generated	158	29	86	25	0.845	0.863	0.854	0.372	0.775	0.289	0.819	0.8056
mintaka	qwen-qwen3-32b	self_consistency	24	0	98	171	1.0	0.123	0.219	0.918	0.364	0.334	0.416	0.5615
mintaka	qwen-qwen3-8b	ays	129	15	57	97	0.896	0.571	0.697	0.517	0.37	0.191	0.624	0.6812
mintaka	qwen-qwen3-8b	ic_idk	68	17	55	158	0.8	0.301	0.437	0.715	0.258	0.185	0.413	0.5324
mintaka	qwen-qwen3-8b	pairwise_assistive	186	17	55	40	0.916	0.823	0.867	0.319	0.579	0.185	0.809	0.7934
mintaka	qwen-qwen3-8b	pairwise_incremental	167	19	53	59	0.898	0.739	0.811	0.376	0.473	0.178	0.738	0.7375
mintaka	qwen-qwen3-8b	pairwise_model_generated	188	28	44	38	0.87	0.832	0.851	0.275	0.537	0.148	0.779	0.7215
mintaka	qwen-qwen3-8b	self_consistency	21	1	70	201	0.955	0.095	0.172	0.925	0.258	0.239	0.311	0.5403
musique	google-gemini-2-5-flash	ays	48	8	97	129	0.857	0.271	0.412	0.801	0.429	0.344	0.514	0.5975
musique	google-gemini-2-5-flash	IC-IDK	47	7	98	130	0.87	0.266	0.407	0.809	0.43	0.348	0.514	0.5994
musique	google-gemini-2-5-flash	pairwise_assistive	125	23	82	52	0.845	0.706	0.769	0.475	0.612	0.291	0.734	0.7436
musique	google-gemini-2-5-flash	pairwise_incremental	131	29	76	46	0.819	0.74	0.777	0.433	0.623	0.27	0.734	0.732
musique	google-gemini-2-5-flash	pairwise_model_generated	119	31	74	58	0.793	0.672	0.728	0.468	0.561	0.262	0.684	0.6885
musique	google-gemini-2-5-flash	self_consistency	57	4	101	120	0.934	0.322	0.479	0.784	0.457	0.358	0.56	0.642
musique	gemini-2.5-pro	ays	31	11	123	117	0.738	0.209	0.326	0.851	0.512	0.436	0.546	0.5637
musique	gemini-2.5-pro	IC-IDK	26	2	132	122	0.929	0.176	0.295	0.901	0.52	0.468	0.56	0.5804
musique	gemini-2.5-pro	pairwise_assistive	97	20	114	51	0.829	0.655	0.732	0.585	0.691	0.404	0.748	0.7531
musique	gemini-2.5-pro	pairwise_incremental	91	35	98	57	0.722	0.615	0.664	0.552	0.632	0.349	0.673	0.6759
musique	gemini-2.5-pro	pairwise_model_generated	128	70	64	20	0.646	0.865	0.74	0.298	0.762	0.227	0.681	0.6712
musique	gemini-2.5-pro	self_consistency	39	7	127	109	0.848	0.264	0.402	0.837	0.538	0.45	0.589	0.6056
musique	gpt-5-1	ays	30	3	149	96	0.909	0.238	0.377	0.881	0.608	0.536	0.644	0.6092
musique	gpt-5-1	IC-IDK	19	2	150	103	0.905	0.156	0.266	0.923	0.593	0.547	0.617	0.5713
musique	gpt-5-1	pairwise_assistive	73	24	128	51	0.753	0.589	0.661	0.649	0.715	0.464	0.728	0.7154
musique	gpt-5-1	pairwise_incremental	76	36	116	50	0.679	0.603	0.639	0.597	0.699	0.417	0.691	0.6832
musique	gpt-5-1	pairwise_model_generated	71	37	113	46	0.657	0.607	0.631	0.596	0.711	0.423	0.689	0.6801
musique	gpt-5-1	self_consistency	6	1	151	124	0.857	0.046	0.088	0.975	0.549	0.535	0.557	0.5198
musique	meta-llama-llama-3-1-8b-instruct	ays	115	6	20	141	0.95	0.449	0.61	0.571	0.124	0.071	0.479	0.6092
musique	meta-llama-llama-3-1-8b-instruct	IC-IDK	27	0	26	229	1.0	0.105	0.191	0.904	0.102	0.092	0.188	0.5527
musique	meta-llama-llama-3-1-8b-instruct	pairwise_assistive	187	7	11	14	0.964	0.93	0.947	0.114	0.44	0.05	0.904	0.7707
musique	meta-llama-llama-3-1-8b-instruct	pairwise_incremental	232	15	11	23	0.939	0.91	0.924	0.121	0.324	0.039	0.865	0.6664
musique	meta-llama-llama-3-1-8b-instruct	pairwise_model_generated	236	19	7	20	0.925	0.922	0.924	0.096	0.259	0.025	0.862	0.5956
musique	meta-llama-llama-3-1-8b-instruct	self_consistency	10	0	26	246	1.0	0.039	0.075	0.965	0.096	0.092	0.128	0.5195
musique	meta-llama-llama-3-3-70b-instruct	ays	121	13	56	92	0.903	0.568	0.697	0.525	0.378	0.199	0.628	0.6898
musique	meta-llama-llama-3-3-70b-instruct	IC-IDK	26	1	68	187	0.963	0.122	0.217	0.904	0.267	0.241	0.333	0.5538
musique	meta-llama-llama-3-3-70b-instruct	pairwise_assistive	182	26	43	31	0.875	0.854	0.865	0.262	0.581	0.152	0.798	0.7388
musique	meta-llama-llama-3-3-70b-instruct	pairwise_incremental	174	28	41	39	0.861	0.817	0.839	0.284	0.512	0.145	0.762	0.7056
musique	meta-llama-llama-3-3-70b-instruct	pairwise_model_generated	196	50	19	17	0.797	0.92	0.854	0.128	0.528	0.067	0.762	0.5978
musique	meta-llama-llama-3-3-70b-instruct	self_consistency	5	0	69	208	1.0	0.023	0.046	0.982	0.249	0.245	0.262	0.5117
musique	mistralai-mistral-7b-instruct-v0-3	ays	103	9	27	143	0.92	0.419	0.575	0.603	0.159	0.096	0.461	0.5843
musique	mistralai-mistral-7b-instruct-v0-3	IC-IDK	143	13	23	103	0.917	0.581	0.711	0.447	0.183	0.082	0.589	0.6101
musique	mistralai-mistral-7b-instruct-v0-3	pairwise_assistive	221	16	18	20	0.932	0.917	0.925	0.138	0.474	0.065	0.869	0.7232
musique	mistralai-mistral-7b-instruct-v0-3	pairwise_incremental	225	20	16	21	0.918	0.915	0.916	0.131	0.432	0.057	0.855	0.6795
musique	mistralai-mistral-7b-instruct-v0-3	pairwise_model_generated	208	20	16	38	0.912	0.846	0.878	0.191	0.296	0.057	0.794	0.645
