dataset	model	approach	total_evaluated	correct	incorrect	accuracy
bamboogle	gemini-2.5-flash	open_ended	123	103	20	83.74
bamboogle	gemini-2.5-flash	assistive	123	93	30	75.61
bamboogle	gemini-2.5-flash	sequential	123	99	24	80.49
bamboogle	gemini-2.5-flash	model_generated_plan	123	97	26	78.86
bamboogle	gemini-2.5-pro	open_ended	123	105	18	85.37
bamboogle	gemini-2.5-pro	assistive	123	107	16	86.99
bamboogle	gemini-2.5-pro	sequential	122	106	16	86.89
bamboogle	gemini-2.5-pro	model_generated_plan	123	102	21	82.93
bamboogle	gemma-3-4B-it	open_ended	123	11	112	8.94
bamboogle	gemma-3-4B-it	assistive	123	25	98	20.33
bamboogle	gemma-3-4B-it	sequential	122	35	87	28.69
bamboogle	gemma-3-4B-it	model_generated_plan	122	20	102	16.39
bamboogle	gpt-5.1	open_ended	123	104	19	84.55
bamboogle	gpt-5.1	assistive	123	108	15	87.8
bamboogle	gpt-5.1	sequential	123	107	16	86.99
bamboogle	gpt-5.1	model_generated_plan	123	100	23	81.3
bamboogle	llama-3.1-8B-Instruct	open_ended	122	26	96	21.31
bamboogle	llama-3.1-8B-Instruct	assistive	123	49	74	39.84
bamboogle	llama-3.1-8B-Instruct	sequential	123	59	64	47.97
bamboogle	llama-3.1-8B-Instruct	model_generated_plan	122	20	102	16.39
bamboogle	llama-3.3-70B-Instruct	open_ended	123	56	67	45.53
bamboogle	llama-3.3-70B-Instruct	assistive	123	89	34	72.36
bamboogle	llama-3.3-70B-Instruct	sequential	123	84	39	68.29
bamboogle	llama-3.3-70B-Instruct	model_generated_plan	121	71	50	58.68
bamboogle	mistral-7B-Instruct-v0.3	open_ended	122	19	103	15.57
bamboogle	mistral-7B-Instruct-v0.3	assistive	123	44	79	35.77
bamboogle	mistral-7B-Instruct-v0.3	sequential	123	45	78	36.59
bamboogle	mistral-7B-Instruct-v0.3	model_generated_plan	123	25	98	20.33
bamboogle	qwen-2.5-72B-Instruct	open_ended	123	39	84	31.71
bamboogle	qwen-2.5-72B-Instruct	assistive	123	72	51	58.54
bamboogle	qwen-2.5-72B-Instruct	sequential	123	75	48	60.98
bamboogle	qwen-2.5-72B-Instruct	model_generated_plan	123	60	63	48.78
bamboogle	qwen-3-32B	open_ended	123	23	100	18.7
bamboogle	qwen-3-32B	assistive	123	55	68	44.72
bamboogle	qwen-3-32B	sequential	123	54	69	43.9
bamboogle	qwen-3-32B	model_generated_plan	123	41	82	33.33
bamboogle	qwen-3-8B	open_ended	123	15	108	12.2
bamboogle	qwen-3-8B	assistive	123	46	77	37.4
bamboogle	qwen-3-8B	sequential	122	40	82	32.79
bamboogle	qwen-3-8B	model_generated_plan	123	30	93	24.39
crag	gemini-2.5-flash	open_ended	163	105	58	64.42
crag	gemini-2.5-flash	assistive	163	103	60	63.19
crag	gemini-2.5-flash	sequential	163	101	62	61.96
crag	gemini-2.5-flash	model_generated_plan	163	96	67	58.9
crag	gemini-2.5-pro	open_ended	163	105	58	64.42
crag	gemini-2.5-pro	assistive	163	100	63	61.35
crag	gemini-2.5-pro	sequential	163	97	66	59.51
crag	gemini-2.5-pro	model_generated_plan	163	88	75	53.99
crag	gemma-3-4B-it	open_ended	163	29	134	17.79
crag	gemma-3-4B-it	assistive	163	45	118	27.61
crag	gemma-3-4B-it	sequential	163	33	130	20.25
crag	gemma-3-4B-it	model_generated_plan	163	27	136	16.56
crag	gpt-5.1	open_ended	163	106	57	65.03
crag	gpt-5.1	assistive	163	104	59	63.8
crag	gpt-5.1	sequential	163	101	62	61.96
crag	gpt-5.1	model_generated_plan	163	92	71	56.44
crag	llama-3.1-8B-Instruct	open_ended	163	45	118	27.61
crag	llama-3.1-8B-Instruct	assistive	163	58	105	35.58
crag	llama-3.1-8B-Instruct	sequential	163	68	95	41.72
crag	llama-3.1-8B-Instruct	model_generated_plan	163	38	125	23.31
crag	llama-3.3-70B-Instruct	open_ended	163	68	95	41.72
crag	llama-3.3-70B-Instruct	assistive	163	80	83	49.08
crag	llama-3.3-70B-Instruct	sequential	163	85	78	52.15
crag	llama-3.3-70B-Instruct	model_generated_plan	163	81	82	49.69
crag	mistral-7B-Instruct-v0.3	open_ended	163	41	122	25.15
crag	mistral-7B-Instruct-v0.3	assistive	163	54	109	33.13
crag	mistral-7B-Instruct-v0.3	sequential	163	40	123	24.54
crag	mistral-7B-Instruct-v0.3	model_generated_plan	163	34	129	20.86
crag	qwen-2.5-72B-Instruct	open_ended	163	52	111	31.9
crag	qwen-2.5-72B-Instruct	assistive	163	66	97	40.49
crag	qwen-2.5-72B-Instruct	sequential	163	67	96	41.1
crag	qwen-2.5-72B-Instruct	model_generated_plan	163	67	96	41.1
crag	qwen-3-32B	open_ended	163	44	119	26.99
crag	qwen-3-32B	assistive	163	61	102	37.42
crag	qwen-3-32B	sequential	163	58	105	35.58
crag	qwen-3-32B	model_generated_plan	163	46	117	28.22
crag	qwen-3-8B	open_ended	163	32	131	19.63
crag	qwen-3-8B	assistive	163	39	124	23.93
crag	qwen-3-8B	sequential	163	35	128	21.47
crag	qwen-3-8B	model_generated_plan	163	15	148	9.2
hotpotqa	gemini-2.5-flash	open_ended	273	163	110	59.71
hotpotqa	gemini-2.5-flash	assistive	273	153	120	56.04
hotpotqa	gemini-2.5-flash	sequential	274	146	128	53.28
hotpotqa	gemini-2.5-flash	model_generated_plan	274	122	152	44.53
hotpotqa	gemini-2.5-pro	open_ended	273	186	87	68.13
hotpotqa	gemini-2.5-pro	assistive	272	185	87	68.01
hotpotqa	gemini-2.5-pro	sequential	274	175	99	63.87
hotpotqa	gemini-2.5-pro	model_generated_plan	274	158	116	57.66
hotpotqa	gemma-3-4B-it	open_ended	272	43	229	15.81
hotpotqa	gemma-3-4B-it	assistive	274	46	228	16.79
hotpotqa	gemma-3-4B-it	sequential	273	44	229	16.12
hotpotqa	gemma-3-4B-it	model_generated_plan	274	30	244	10.95
hotpotqa	gpt-5.1	open_ended	274	202	72	73.72
hotpotqa	gpt-5.1	assistive	273	198	75	72.53
hotpotqa	gpt-5.1	sequential	273	193	80	70.7
hotpotqa	gpt-5.1	model_generated_plan	273	188	85	68.86
hotpotqa	llama-3.1-8B-Instruct	open_ended	273	69	204	25.27
hotpotqa	llama-3.1-8B-Instruct	assistive	274	72	202	26.28
hotpotqa	llama-3.1-8B-Instruct	sequential	273	75	198	27.47
hotpotqa	llama-3.1-8B-Instruct	model_generated_plan	273	38	235	13.92
hotpotqa	llama-3.3-70B-Instruct	open_ended	271	112	159	41.33
hotpotqa	llama-3.3-70B-Instruct	assistive	272	125	147	45.96
hotpotqa	llama-3.3-70B-Instruct	sequential	271	116	155	42.8
hotpotqa	llama-3.3-70B-Instruct	model_generated_plan	272	74	198	27.21
hotpotqa	mistral-7B-Instruct-v0.3	open_ended	274	66	208	24.09
hotpotqa	mistral-7B-Instruct-v0.3	assistive	274	76	198	27.74
hotpotqa	mistral-7B-Instruct-v0.3	sequential	274	67	207	24.45
hotpotqa	mistral-7B-Instruct-v0.3	model_generated_plan	273	50	223	18.32
hotpotqa	qwen-2.5-72B-Instruct	open_ended	272	95	177	34.93
hotpotqa	qwen-2.5-72B-Instruct	assistive	274	99	175	36.13
hotpotqa	qwen-2.5-72B-Instruct	sequential	274	99	175	36.13
hotpotqa	qwen-2.5-72B-Instruct	model_generated_plan	273	66	207	24.18
hotpotqa	qwen-3-32B	open_ended	274	86	188	31.39
hotpotqa	qwen-3-32B	assistive	274	84	190	30.66
hotpotqa	qwen-3-32B	sequential	274	76	198	27.74
hotpotqa	qwen-3-32B	model_generated_plan	274	57	217	20.8
hotpotqa	qwen-3-8B	open_ended	272	59	213	21.69
hotpotqa	qwen-3-8B	assistive	274	62	212	22.63
hotpotqa	qwen-3-8B	sequential	274	45	229	16.42
hotpotqa	qwen-3-8B	model_generated_plan	273	40	233	14.65
mintaka	gemini-2.5-flash	open_ended	298	248	50	83.22
mintaka	gemini-2.5-flash	assistive	298	250	48	83.89
mintaka	gemini-2.5-flash	sequential	297	246	51	82.83
mintaka	gemini-2.5-flash	model_generated_plan	298	232	66	77.85
mintaka	gemini-2.5-pro	open_ended	298	255	43	85.57
mintaka	gemini-2.5-pro	assistive	298	254	44	85.23
mintaka	gemini-2.5-pro	sequential	298	248	50	83.22
mintaka	gemini-2.5-pro	model_generated_plan	298	214	84	71.81
mintaka	gemma-3-4B-it	open_ended	296	58	238	19.59
mintaka	gemma-3-4B-it	assistive	294	123	171	41.84
mintaka	gemma-3-4B-it	sequential	298	114	184	38.26
mintaka	gemma-3-4B-it	model_generated_plan	297	76	221	25.59
mintaka	gpt-5.1	open_ended	298	257	41	86.24
mintaka	gpt-5.1	assistive	298	259	39	86.91
mintaka	gpt-5.1	sequential	298	245	53	82.21
mintaka	gpt-5.1	model_generated_plan	298	240	58	80.54
mintaka	llama-3.1-8B-Instruct	open_ended	297	99	198	33.33
mintaka	llama-3.1-8B-Instruct	assistive	298	163	135	54.7
mintaka	llama-3.1-8B-Instruct	sequential	298	173	125	58.05
mintaka	llama-3.1-8B-Instruct	model_generated_plan	298	93	205	31.21
mintaka	llama-3.3-70B-Instruct	open_ended	297	183	114	61.62
mintaka	llama-3.3-70B-Instruct	assistive	296	206	90	69.59
mintaka	llama-3.3-70B-Instruct	sequential	296	220	76	74.32
mintaka	llama-3.3-70B-Instruct	model_generated_plan	292	208	84	71.23
mintaka	mistral-7B-Instruct-v0.3	open_ended	298	122	176	40.94
mintaka	mistral-7B-Instruct-v0.3	assistive	298	166	132	55.7
mintaka	mistral-7B-Instruct-v0.3	sequential	298	151	147	50.67
mintaka	mistral-7B-Instruct-v0.3	model_generated_plan	297	115	182	38.72
mintaka	qwen-2.5-72B-Instruct	open_ended	296	159	137	53.72
mintaka	qwen-2.5-72B-Instruct	assistive	297	203	94	68.35
mintaka	qwen-2.5-72B-Instruct	sequential	298	214	84	71.81
mintaka	qwen-2.5-72B-Instruct	model_generated_plan	297	191	106	64.31
mintaka	qwen-3-32B	open_ended	298	115	183	38.59
mintaka	qwen-3-32B	assistive	298	176	122	59.06
mintaka	qwen-3-32B	sequential	298	159	139	53.36
mintaka	qwen-3-32B	model_generated_plan	298	137	161	45.97
mintaka	qwen-3-8B	open_ended	297	73	224	24.58
mintaka	qwen-3-8B	assistive	298	118	180	39.6
mintaka	qwen-3-8B	sequential	298	101	197	33.89
mintaka	qwen-3-8B	model_generated_plan	298	85	213	28.52
