model	dataset	one_minus_recall_before	one_minus_recall_after	open_wrong_before	open_wrong_after	n_records_before	n_records_after	source_before	source_after	excluded_ids_count
GPT-5.1	bamboogle	0.3684210526315789	0.0	19.0	5.0	123.0	107.0	baseline_records:results/baselines/bamboogle/gpt-5-1/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/gpt-5-1/bamboogle_pairwise_assistive.json	16
GPT-5.1	crag	0.5964912280701754	0.11764705882352941	57.0	17.0	162.0	116.0	eval_oldstyle:results/correctness/crag/gpt-5-1/crag_open_ended_correctness.json|results/consistency/crag/gpt-5-1/crag_assistive_vs_open_ended_consistency.json	eval_oldstyle:results/correctness/crag/gpt-5-1/crag_open_ended_correctness.json|results/consistency/crag/gpt-5-1/crag_assistive_vs_open_ended_consistency.json	46
GPT-5.1	frames	0.48717948717948717	0.2619047619047619	78.0	42.0	292.0	252.0	eval_newstyle:results/correctness/frames/gpt-5.1/open_ended_correctness.json|results/consistency/frames/gpt-5.1/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/gpt-5.1/open_ended_correctness.json|results/consistency/frames/gpt-5.1/consistency_open_ended_vs_assistive.json	41
GPT-5.1	hotpotqa	0.36538461538461536	0.047619047619047616	52.0	21.0	185.0	144.0	baseline_records:results/baselines/hotpotqa/gpt-5-1/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/gpt-5-1/hotpotqa_pairwise_assistive.json	56
GPT-5.1	mintaka	0.6829268292682927	0.07142857142857142	41.0	14.0	293.0	262.0	baseline_records:results/baselines/mintaka/gpt-5-1/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/gpt-5-1/mintaka_pairwise_assistive.json	31
GPT-5.1	musique	0.42748091603053434	0.15789473684210525	131.0	57.0	294.0	215.0	eval_newstyle:results/correctness/musique/gpt-5.1/open_ended_correctness.json|results/consistency/musique/gpt-5.1/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/gpt-5.1/open_ended_correctness.json|results/consistency/musique/gpt-5.1/consistency_open_ended_vs_assistive.json	81
Gemini-2.5-Pro	bamboogle	0.5555555555555556	0.3333333333333333	18.0	6.0	123.0	107.0	baseline_records:results/baselines/bamboogle/google-gemini-2-5-pro/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/google-gemini-2-5-pro/bamboogle_pairwise_assistive.json	16
Gemini-2.5-Pro	crag	0.6666666666666666	0.0	57.0	12.0	162.0	116.0	baseline_records:results/baselines/crag/google-gemini-2-5-pro/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/google-gemini-2-5-pro/crag_pairwise_assistive.json	46
Gemini-2.5-Pro	frames	0.4819277108433735	0.2916666666666667	83.0	48.0	299.0	258.0	eval_newstyle:results/correctness/frames/gemini-2.5-pro/open_ended_correctness.json|results/consistency/frames/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/gemini-2.5-pro/open_ended_correctness.json|results/consistency/frames/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	41
Gemini-2.5-Pro	hotpotqa	0.33695652173913043	0.07142857142857142	92.0	42.0	274.0	218.0	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-pro/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-pro/hotpotqa_pairwise_assistive.json	56
Gemini-2.5-Pro	mintaka	0.7021276595744681	0.3157894736842105	47.0	19.0	298.0	267.0	baseline_records:results/baselines/mintaka/google-gemini-2-5-pro/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/google-gemini-2-5-pro/mintaka_pairwise_assistive.json	31
Gemini-2.5-Pro	musique	0.33986928104575165	0.11842105263157894	153.0	76.0	300.0	219.0	eval_newstyle:results/correctness/musique/gemini-2.5-pro/open_ended_correctness.json|results/consistency/musique/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/gemini-2.5-pro/open_ended_correctness.json|results/consistency/musique/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	81
Gemini-2.5-Flash	bamboogle	0.4	0.16666666666666666	20.0	6.0	123.0	107.0	baseline_records:results/baselines/bamboogle/google-gemini-2-5-flash/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/google-gemini-2-5-flash/bamboogle_pairwise_assistive.json	16
Gemini-2.5-Flash	crag	0.43103448275862066	0.05	58.0	20.0	162.0	116.0	baseline_records:results/baselines/crag/google-gemini-2-5-flash/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/google-gemini-2-5-flash/crag_pairwise_assistive.json	46
Gemini-2.5-Flash	frames	0.29310344827586204	0.24675324675324675	116.0	77.0	297.0	256.0	eval_newstyle:results/correctness/frames/gemini-2.5-flash/open_ended_correctness.json|results/consistency/frames/gemini-2.5-flash/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/gemini-2.5-flash/open_ended_correctness.json|results/consistency/frames/gemini-2.5-flash/consistency_open_ended_vs_assistive.json	41
Gemini-2.5-Flash	hotpotqa	0.35714285714285715	0.16129032258064516	112.0	62.0	274.0	218.0	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-flash/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-flash/hotpotqa_pairwise_assistive.json	56
Gemini-2.5-Flash	mintaka	0.5555555555555556	0.2222222222222222	54.0	27.0	298.0	267.0	baseline_records:results/baselines/mintaka/google-gemini-2-5-flash/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/google-gemini-2-5-flash/mintaka_pairwise_assistive.json	31
Gemini-2.5-Flash	musique	0.3064516129032258	0.1523809523809524	186.0	105.0	300.0	219.0	eval_newstyle:results/correctness/musique/gemini-2.5-flash/open_ended_correctness.json|results/consistency/musique/gemini-2.5-flash/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/gemini-2.5-flash/open_ended_correctness.json|results/consistency/musique/gemini-2.5-flash/consistency_open_ended_vs_assistive.json	81
Llama-3.3-70B	bamboogle	0.1044776119402985	0.10909090909090909	67.0	55.0	123.0	107.0	baseline_records:results/baselines/bamboogle/meta-llama-llama-3-3-70b-instruct/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/meta-llama-llama-3-3-70b-instruct/bamboogle_pairwise_assistive.json	16
Llama-3.3-70B	crag	0.35106382978723405	0.18867924528301888	94.0	53.0	162.0	116.0	baseline_records:results/baselines/crag/meta-llama-llama-3-3-70b-instruct/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/meta-llama-llama-3-3-70b-instruct/crag_pairwise_assistive.json	46
Llama-3.3-70B	frames	0.1141552511415525	0.1111111111111111	219.0	180.0	297.0	256.0	eval_newstyle:results/correctness/frames/llama-3.3-70B-Instruct/open_ended_correctness.json|results/consistency/frames/llama-3.3-70B-Instruct/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/llama-3.3-70B-Instruct/open_ended_correctness.json|results/consistency/frames/llama-3.3-70B-Instruct/consistency_open_ended_vs_assistive.json	41
Llama-3.3-70B	hotpotqa	0.15950920245398773	0.12844036697247707	163.0	109.0	274.0	218.0	baseline_records:results/baselines/hotpotqa/meta-llama-llama-3-3-70b-instruct/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/meta-llama-llama-3-3-70b-instruct/hotpotqa_pairwise_assistive.json	56
Llama-3.3-70B	mintaka	0.28448275862068967	0.18681318681318682	116.0	91.0	298.0	267.0	baseline_records:results/baselines/mintaka/meta-llama-llama-3-3-70b-instruct/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/meta-llama-llama-3-3-70b-instruct/mintaka_pairwise_assistive.json	31
Llama-3.3-70B	musique	0.14537444933920704	0.09395973154362416	227.0	149.0	300.0	219.0	eval_newstyle:results/correctness/musique/llama-3.3-70B-Instruct/open_ended_correctness.json|results/consistency/musique/llama-3.3-70B-Instruct/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/llama-3.3-70B-Instruct/open_ended_correctness.json|results/consistency/musique/llama-3.3-70B-Instruct/consistency_open_ended_vs_assistive.json	81
Qwen2.5-72B	bamboogle	0.17857142857142858	0.2028985507246377	84.0	69.0	123.0	107.0	baseline_records:results/baselines/bamboogle/qwen-qwen2-5-72b-instruct/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/qwen-qwen2-5-72b-instruct/bamboogle_pairwise_assistive.json	16
Qwen2.5-72B	crag	0.17272727272727273	0.17647058823529413	110.0	68.0	162.0	116.0	baseline_records:results/baselines/crag/qwen-qwen2-5-72b-instruct/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/qwen-qwen2-5-72b-instruct/crag_pairwise_assistive.json	46
Qwen2.5-72B	frames	0.1510204081632653	0.13725490196078433	245.0	204.0	294.0	253.0	eval_newstyle:results/correctness/frames/qwen-2.5-72B-Instruct/open_ended_correctness.json|results/consistency/frames/qwen-2.5-72B-Instruct/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/qwen-2.5-72B-Instruct/open_ended_correctness.json|results/consistency/frames/qwen-2.5-72B-Instruct/consistency_open_ended_vs_assistive.json	41
Qwen2.5-72B	hotpotqa	0.16201117318435754	0.16153846153846155	179.0	130.0	274.0	218.0	baseline_records:results/baselines/hotpotqa/qwen-qwen2-5-72b-instruct/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/qwen-qwen2-5-72b-instruct/hotpotqa_pairwise_assistive.json	56
Qwen2.5-72B	mintaka	0.2323943661971831	0.1724137931034483	142.0	116.0	298.0	267.0	baseline_records:results/baselines/mintaka/qwen-qwen2-5-72b-instruct/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/qwen-qwen2-5-72b-instruct/mintaka_pairwise_assistive.json	31
Qwen2.5-72B	musique	0.1759656652360515	0.1282051282051282	233.0	156.0	300.0	219.0	eval_newstyle:results/correctness/musique/qwen-2.5-72B-Instruct/open_ended_correctness.json|results/consistency/musique/qwen-2.5-72B-Instruct/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/qwen-2.5-72B-Instruct/open_ended_correctness.json|results/consistency/musique/qwen-2.5-72B-Instruct/consistency_open_ended_vs_assistive.json	81
Qwen3-32B	bamboogle	0.11	0.10714285714285714	100.0	84.0	123.0	107.0	baseline_records:results/baselines/bamboogle/qwen-qwen3-32b/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/qwen-qwen3-32b/bamboogle_pairwise_assistive.json	16
Qwen3-32B	crag	0.1271186440677966	0.13157894736842105	118.0	76.0	162.0	116.0	baseline_records:results/baselines/crag/qwen-qwen3-32b/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/qwen-qwen3-32b/crag_pairwise_assistive.json	46
Qwen3-32B	frames									41
Qwen3-32B	hotpotqa	0.16489361702127658	0.1510791366906475	188.0	139.0	274.0	218.0	baseline_records:results/baselines/hotpotqa/qwen-qwen3-32b/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/qwen-qwen3-32b/hotpotqa_pairwise_assistive.json	56
Qwen3-32B	mintaka	0.16939890710382513	0.14102564102564102	183.0	156.0	298.0	267.0	baseline_records:results/baselines/mintaka/qwen-qwen3-32b/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/qwen-qwen3-32b/mintaka_pairwise_assistive.json	31
Qwen3-32B	musique									81
Llama-3.1-8B	bamboogle	0.16494845360824742	0.14634146341463414	97.0	82.0	123.0	107.0	baseline_records:results/baselines/bamboogle/meta-llama-llama-3-1-8b-instruct/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/meta-llama-llama-3-1-8b-instruct/bamboogle_pairwise_assistive.json	16
Llama-3.1-8B	crag	0.1623931623931624	0.14864864864864866	117.0	74.0	162.0	116.0	baseline_records:results/baselines/crag/meta-llama-llama-3-1-8b-instruct/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/meta-llama-llama-3-1-8b-instruct/crag_pairwise_assistive.json	46
Llama-3.1-8B	frames	0.08823529411764706	0.09051724137931035	272.0	232.0	297.0	256.0	eval_newstyle:results/correctness/frames/llama-3.1-8B-Instruct/open_ended_correctness.json|results/consistency/frames/llama-3.1-8B-Instruct/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/llama-3.1-8B-Instruct/open_ended_correctness.json|results/consistency/frames/llama-3.1-8B-Instruct/consistency_open_ended_vs_assistive.json	41
Llama-3.1-8B	hotpotqa	0.22815533980582525	0.22727272727272727	206.0	154.0	274.0	218.0	baseline_records:results/baselines/hotpotqa/meta-llama-llama-3-1-8b-instruct/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/meta-llama-llama-3-1-8b-instruct/hotpotqa_pairwise_assistive.json	56
Llama-3.1-8B	mintaka	0.24	0.21637426900584794	200.0	171.0	298.0	267.0	baseline_records:results/baselines/mintaka/meta-llama-llama-3-1-8b-instruct/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/meta-llama-llama-3-1-8b-instruct/mintaka_pairwise_assistive.json	31
Llama-3.1-8B	musique	0.06944444444444445	0.057692307692307696	216.0	156.0	235.0	171.0	eval_newstyle:results/correctness/musique/llama-3.1-8B-Instruct/open_ended_correctness.json|results/consistency/musique/llama-3.1-8B-Instruct/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/llama-3.1-8B-Instruct/open_ended_correctness.json|results/consistency/musique/llama-3.1-8B-Instruct/consistency_open_ended_vs_assistive.json	81
Qwen3-8B	bamboogle	0.10185185185185185	0.09782608695652174	108.0	92.0	123.0	107.0	baseline_records:results/baselines/bamboogle/qwen-qwen3-8b/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/qwen-qwen3-8b/bamboogle_pairwise_assistive.json	16
Qwen3-8B	crag	0.1076923076923077	0.10989010989010989	130.0	91.0	162.0	116.0	baseline_records:results/baselines/crag/qwen-qwen3-8b/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/qwen-qwen3-8b/crag_pairwise_assistive.json	46
Qwen3-8B	frames	0.08494208494208494	0.07174887892376682	259.0	223.0	294.0	254.0	eval_newstyle:results/correctness/frames/qwen-3-8B/open_ended_correctness.json|results/consistency/frames/qwen-3-8B/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/qwen-3-8B/open_ended_correctness.json|results/consistency/frames/qwen-3-8B/consistency_open_ended_vs_assistive.json	41
Qwen3-8B	hotpotqa	0.17209302325581396	0.16463414634146342	215.0	164.0	274.0	218.0	baseline_records:results/baselines/hotpotqa/qwen-qwen3-8b/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/qwen-qwen3-8b/hotpotqa_pairwise_assistive.json	56
Qwen3-8B	mintaka	0.17699115044247787	0.1507537688442211	226.0	199.0	298.0	267.0	baseline_records:results/baselines/mintaka/qwen-qwen3-8b/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/qwen-qwen3-8b/mintaka_pairwise_assistive.json	31
Qwen3-8B	musique	0.10384615384615385	0.05913978494623656	260.0	186.0	292.0	213.0	eval_newstyle:results/correctness/musique/qwen-3-8B/open_ended_correctness.json|results/consistency/musique/qwen-3-8B/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/qwen-3-8B/open_ended_correctness.json|results/consistency/musique/qwen-3-8B/consistency_open_ended_vs_assistive.json	81
Mistral-7B	bamboogle	0.5673076923076923	0.5842696629213483	104.0	89.0	123.0	107.0	baseline_records:results/baselines/bamboogle/mistralai-mistral-7b-instruct-v0-3/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/mistralai-mistral-7b-instruct-v0-3/bamboogle_pairwise_assistive.json	16
Mistral-7B	crag	0.19008264462809918	0.18181818181818182	121.0	77.0	162.0	116.0	baseline_records:results/baselines/crag/mistralai-mistral-7b-instruct-v0-3/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/mistralai-mistral-7b-instruct-v0-3/crag_pairwise_assistive.json	46
Mistral-7B	frames	0.12903225806451613	0.12735849056603774	248.0	212.0	282.0	244.0	eval_newstyle:results/correctness/frames/mistral-7B-Instruct-v0.3/open_ended_correctness.json|results/consistency/frames/mistral-7B-Instruct-v0.3/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/mistral-7B-Instruct-v0.3/open_ended_correctness.json|results/consistency/frames/mistral-7B-Instruct-v0.3/consistency_open_ended_vs_assistive.json	41
Mistral-7B	hotpotqa	0.39712918660287083	0.4155844155844156	209.0	154.0	274.0	218.0	baseline_records:results/baselines/hotpotqa/mistralai-mistral-7b-instruct-v0-3/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/mistralai-mistral-7b-instruct-v0-3/hotpotqa_pairwise_assistive.json	56
Mistral-7B	mintaka	0.6235955056179775	0.6158940397350994	178.0	151.0	298.0	267.0	baseline_records:results/baselines/mintaka/mistralai-mistral-7b-instruct-v0-3/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/mistralai-mistral-7b-instruct-v0-3/mintaka_pairwise_assistive.json	31
Mistral-7B	musique	0.0933852140077821	0.09782608695652174	257.0	184.0	292.0	215.0	eval_newstyle:results/correctness/musique/mistral-7B-Instruct-v0.3/open_ended_correctness.json|results/consistency/musique/mistral-7B-Instruct-v0.3/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/mistral-7B-Instruct-v0.3/open_ended_correctness.json|results/consistency/musique/mistral-7B-Instruct-v0.3/consistency_open_ended_vs_assistive.json	81
