set	dataset	label	count
intersection_3models	(all)	time_dependent	13
intersection_3models	(all)	likely_gold_error	10
intersection_3models	(all)	unclear/needs_verification	3
intersection_3models	(all)	likely_gold_error/outdated	2
intersection_3models	(all)	numeric_boundary/age_definition	1
intersection_3models	(all)	ambiguous_event_definition	1
intersection_3models	(all)	ambiguous_entity_mapping	1
intersection_3models	(all)	ambiguous_scope(Europe_vs_EU)	1
intersection_3models	(all)	ambiguous_definition	1
intersection_3models	(all)	time_dependent_or_definition(city_vs_municipality)	1
intersection_3models	(all)	ambiguous_time/context	1
intersection_3models	(all)	ambiguous_reference(film)	1
intersection_3models	(all)	likely_gold_error(scope_mismatch)	1
intersection_3models	(all)	ambiguous_location(HQ_vs_facility)	1
intersection_3models	(all)	ambiguous_definition(bond_girl)	1
intersection_3models	(all)	likely_gold_error(BC_vs_AD)	1
intersection_3models	(all)	likely_gold_outdated	1
intersection_3models	(all)	ambiguous_definition(popularity)	1
intersection_3models	(all)	ambiguous_title(“second Metal Gear”)	1
intersection_3models	(all)	numeric_counting_convention	1
intersection_3models	bamboogle	likely_gold_error/outdated	1
intersection_3models	crag	time_dependent	11
intersection_3models	crag	numeric_boundary/age_definition	1
intersection_3models	crag	ambiguous_definition	1
intersection_3models	crag	ambiguous_definition(bond_girl)	1
intersection_3models	crag	ambiguous_definition(popularity)	1
intersection_3models	hotpotqa	unclear/needs_verification	3
intersection_3models	hotpotqa	likely_gold_error	2
intersection_3models	hotpotqa	ambiguous_entity_mapping	1
intersection_3models	hotpotqa	time_dependent_or_definition(city_vs_municipality)	1
intersection_3models	hotpotqa	ambiguous_time/context	1
intersection_3models	hotpotqa	ambiguous_reference(film)	1
intersection_3models	hotpotqa	ambiguous_location(HQ_vs_facility)	1
intersection_3models	mintaka	likely_gold_error	8
intersection_3models	mintaka	time_dependent	2
intersection_3models	mintaka	ambiguous_event_definition	1
intersection_3models	mintaka	ambiguous_scope(Europe_vs_EU)	1
intersection_3models	mintaka	likely_gold_error(scope_mismatch)	1
intersection_3models	mintaka	likely_gold_error/outdated	1
intersection_3models	mintaka	likely_gold_error(BC_vs_AD)	1
intersection_3models	mintaka	likely_gold_outdated	1
intersection_3models	mintaka	ambiguous_title(“second Metal Gear”)	1
intersection_3models	mintaka	numeric_counting_convention	1
gpt_5_1	(all)	time_dependent	20
gpt_5_1	(all)	unclear_needs_manual_check	13
gpt_5_1	(all)	likely_gold_error	12
gpt_5_1	(all)	possible_gold_error_or_ambiguity	11
gpt_5_1	(all)	outlier_vs_frontier_consensus	5
gpt_5_1	(all)	possible_gold_typo_or_alias	4
gpt_5_1	(all)	alias_or_evaluation_strictness	3
gpt_5_1	(all)	unclear/needs_verification	3
gpt_5_1	(all)	likely_gold_error/outdated	2
gpt_5_1	(all)	likely_gold_error(scope_mismatch)	2
gpt_5_1	(all)	ambiguous_title(“second Metal Gear”)	1
gpt_5_1	(all)	likely_gold_typo	1
gpt_5_1	(all)	ambiguous_definition(nominations_vs_confirmed)	1
gpt_5_1	(all)	likely_gold_error(BC_vs_AD)	1
gpt_5_1	(all)	likely_gold_outdated_or_definition_mismatch	1
gpt_5_1	(all)	ambiguous_definition(popularity)	1
gpt_5_1	(all)	ambiguous_time/context	1
gpt_5_1	(all)	ambiguous_definition	1
gpt_5_1	(all)	ambiguous_year_reference	1
gpt_5_1	(all)	ambiguous_location(HQ_vs_facility)	1
gpt_5_1	(all)	time_dependent_or_definition(city_vs_municipality)	1
gpt_5_1	(all)	ambiguous_event_definition	1
gpt_5_1	(all)	numeric_counting_convention	1
gpt_5_1	(all)	numeric_boundary/age_definition	1
gpt_5_1	(all)	ambiguous_reference(film)	1
gpt_5_1	(all)	ambiguous_scope(Europe_vs_EU)	1
gpt_5_1	(all)	ambiguous_entity_mapping	1
gpt_5_1	(all)	likely_gold_outdated	1
gpt_5_1	(all)	ambiguous_definition(bond_girl)	1
gpt_5_1	(all)	ambiguous_definition(comic_book_vs_comic_strip)	1
gpt_5_1	bamboogle	alias_or_evaluation_strictness	2
gpt_5_1	bamboogle	possible_gold_error_or_ambiguity	2
gpt_5_1	bamboogle	likely_gold_typo	1
gpt_5_1	bamboogle	likely_gold_error/outdated	1
gpt_5_1	bamboogle	possible_gold_typo_or_alias	1
gpt_5_1	bamboogle	likely_gold_outdated_or_definition_mismatch	1
gpt_5_1	crag	time_dependent	17
gpt_5_1	crag	unclear_needs_manual_check	4
gpt_5_1	crag	outlier_vs_frontier_consensus	3
gpt_5_1	crag	possible_gold_error_or_ambiguity	2
gpt_5_1	crag	possible_gold_typo_or_alias	2
gpt_5_1	crag	ambiguous_definition(popularity)	1
gpt_5_1	crag	ambiguous_definition	1
gpt_5_1	crag	ambiguous_year_reference	1
gpt_5_1	crag	numeric_boundary/age_definition	1
gpt_5_1	crag	ambiguous_definition(bond_girl)	1
gpt_5_1	crag	ambiguous_definition(comic_book_vs_comic_strip)	1
gpt_5_1	hotpotqa	unclear_needs_manual_check	8
gpt_5_1	hotpotqa	possible_gold_error_or_ambiguity	4
gpt_5_1	hotpotqa	unclear/needs_verification	3
gpt_5_1	hotpotqa	likely_gold_error	3
gpt_5_1	hotpotqa	outlier_vs_frontier_consensus	1
gpt_5_1	hotpotqa	ambiguous_time/context	1
gpt_5_1	hotpotqa	alias_or_evaluation_strictness	1
gpt_5_1	hotpotqa	ambiguous_location(HQ_vs_facility)	1
gpt_5_1	hotpotqa	time_dependent_or_definition(city_vs_municipality)	1
gpt_5_1	hotpotqa	likely_gold_error(scope_mismatch)	1
gpt_5_1	hotpotqa	ambiguous_reference(film)	1
gpt_5_1	hotpotqa	ambiguous_entity_mapping	1
gpt_5_1	mintaka	likely_gold_error	9
gpt_5_1	mintaka	time_dependent	3
gpt_5_1	mintaka	possible_gold_error_or_ambiguity	3
gpt_5_1	mintaka	ambiguous_title(“second Metal Gear”)	1
gpt_5_1	mintaka	ambiguous_definition(nominations_vs_confirmed)	1
gpt_5_1	mintaka	likely_gold_error(BC_vs_AD)	1
gpt_5_1	mintaka	unclear_needs_manual_check	1
gpt_5_1	mintaka	outlier_vs_frontier_consensus	1
gpt_5_1	mintaka	ambiguous_event_definition	1
gpt_5_1	mintaka	numeric_counting_convention	1
gpt_5_1	mintaka	possible_gold_typo_or_alias	1
gpt_5_1	mintaka	likely_gold_error(scope_mismatch)	1
gpt_5_1	mintaka	likely_gold_error/outdated	1
gpt_5_1	mintaka	ambiguous_scope(Europe_vs_EU)	1
gpt_5_1	mintaka	likely_gold_outdated	1
gemini_2_5_pro	(all)	time_dependent	29
gemini_2_5_pro	(all)	unclear_needs_manual_check	19
gemini_2_5_pro	(all)	possible_gold_error_or_ambiguity	12
gemini_2_5_pro	(all)	likely_gold_error	12
gemini_2_5_pro	(all)	outlier_vs_frontier_consensus	5
gemini_2_5_pro	(all)	possible_gold_typo_or_alias	4
gemini_2_5_pro	(all)	unclear/needs_verification	3
gemini_2_5_pro	(all)	likely_gold_error/outdated	2
gemini_2_5_pro	(all)	likely_gold_error(scope_mismatch)	2
gemini_2_5_pro	(all)	ambiguous_title(“second Metal Gear”)	1
gemini_2_5_pro	(all)	likely_gold_error(numeric_scale)	1
gemini_2_5_pro	(all)	numeric_boundary/age_definition	1
gemini_2_5_pro	(all)	likely_gold_outdated	1
gemini_2_5_pro	(all)	ambiguous_year_reference	1
gemini_2_5_pro	(all)	ambiguous_definition(popularity)	1
gemini_2_5_pro	(all)	likely_gold_error(BC_vs_AD)	1
gemini_2_5_pro	(all)	ambiguous_definition(comic_book_vs_comic_strip)	1
gemini_2_5_pro	(all)	ambiguous_definition	1
gemini_2_5_pro	(all)	ambiguous_event_definition	1
gemini_2_5_pro	(all)	ambiguous_location(HQ_vs_facility)	1
gemini_2_5_pro	(all)	ambiguous_scope(Europe_vs_EU)	1
gemini_2_5_pro	(all)	ambiguous_definition(nominations_vs_confirmed)	1
gemini_2_5_pro	(all)	numeric_counting_convention	1
gemini_2_5_pro	(all)	ambiguous_entity_mapping	1
gemini_2_5_pro	(all)	ambiguous_reference(film)	1
gemini_2_5_pro	(all)	time_dependent_or_definition(city_vs_municipality)	1
gemini_2_5_pro	(all)	ambiguous_time/context	1
gemini_2_5_pro	(all)	ambiguous_definition(bond_girl)	1
gemini_2_5_pro	bamboogle	outlier_vs_frontier_consensus	3
gemini_2_5_pro	bamboogle	unclear_needs_manual_check	3
gemini_2_5_pro	bamboogle	possible_gold_typo_or_alias	2
gemini_2_5_pro	bamboogle	likely_gold_error/outdated	1
gemini_2_5_pro	bamboogle	possible_gold_error_or_ambiguity	1
gemini_2_5_pro	crag	time_dependent	25
gemini_2_5_pro	crag	unclear_needs_manual_check	3
gemini_2_5_pro	crag	possible_gold_error_or_ambiguity	3
gemini_2_5_pro	crag	numeric_boundary/age_definition	1
gemini_2_5_pro	crag	ambiguous_year_reference	1
gemini_2_5_pro	crag	ambiguous_definition(popularity)	1
gemini_2_5_pro	crag	ambiguous_definition(comic_book_vs_comic_strip)	1
gemini_2_5_pro	crag	ambiguous_definition	1
gemini_2_5_pro	crag	possible_gold_typo_or_alias	1
gemini_2_5_pro	crag	ambiguous_definition(bond_girl)	1
gemini_2_5_pro	hotpotqa	unclear_needs_manual_check	13
gemini_2_5_pro	hotpotqa	possible_gold_error_or_ambiguity	5
gemini_2_5_pro	hotpotqa	likely_gold_error	3
gemini_2_5_pro	hotpotqa	unclear/needs_verification	3
gemini_2_5_pro	hotpotqa	likely_gold_error(numeric_scale)	1
gemini_2_5_pro	hotpotqa	time_dependent	1
gemini_2_5_pro	hotpotqa	ambiguous_location(HQ_vs_facility)	1
gemini_2_5_pro	hotpotqa	ambiguous_entity_mapping	1
gemini_2_5_pro	hotpotqa	ambiguous_reference(film)	1
gemini_2_5_pro	hotpotqa	time_dependent_or_definition(city_vs_municipality)	1
gemini_2_5_pro	hotpotqa	ambiguous_time/context	1
gemini_2_5_pro	hotpotqa	likely_gold_error(scope_mismatch)	1
gemini_2_5_pro	mintaka	likely_gold_error	9
gemini_2_5_pro	mintaka	time_dependent	3
gemini_2_5_pro	mintaka	possible_gold_error_or_ambiguity	3
gemini_2_5_pro	mintaka	outlier_vs_frontier_consensus	2
gemini_2_5_pro	mintaka	ambiguous_title(“second Metal Gear”)	1
gemini_2_5_pro	mintaka	likely_gold_error/outdated	1
gemini_2_5_pro	mintaka	likely_gold_outdated	1
gemini_2_5_pro	mintaka	likely_gold_error(BC_vs_AD)	1
gemini_2_5_pro	mintaka	possible_gold_typo_or_alias	1
gemini_2_5_pro	mintaka	ambiguous_event_definition	1
gemini_2_5_pro	mintaka	likely_gold_error(scope_mismatch)	1
gemini_2_5_pro	mintaka	ambiguous_scope(Europe_vs_EU)	1
gemini_2_5_pro	mintaka	ambiguous_definition(nominations_vs_confirmed)	1
gemini_2_5_pro	mintaka	numeric_counting_convention	1
gemini_2_5_flash	(all)	time_dependent	19
gemini_2_5_flash	(all)	unclear_needs_manual_check	15
gemini_2_5_flash	(all)	outlier_vs_frontier_consensus	13
gemini_2_5_flash	(all)	likely_gold_error	10
gemini_2_5_flash	(all)	possible_gold_error_or_ambiguity	10
gemini_2_5_flash	(all)	unclear/needs_verification	4
gemini_2_5_flash	(all)	possible_gold_typo_or_alias	3
gemini_2_5_flash	(all)	likely_gold_error/outdated	2
gemini_2_5_flash	(all)	ambiguous_definition(bond_girl)	1
gemini_2_5_flash	(all)	likely_gold_outdated	1
gemini_2_5_flash	(all)	likely_gold_outdated_or_definition_mismatch	1
gemini_2_5_flash	(all)	ambiguous_title(“second Metal Gear”)	1
gemini_2_5_flash	(all)	likely_gold_typo	1
gemini_2_5_flash	(all)	ambiguous_definition(most_populous_capital)	1
gemini_2_5_flash	(all)	ambiguous_definition	1
gemini_2_5_flash	(all)	ambiguous_time/context	1
gemini_2_5_flash	(all)	ambiguous_definition(popularity)	1
gemini_2_5_flash	(all)	ambiguous_location(HQ_vs_facility)	1
gemini_2_5_flash	(all)	likely_gold_error(record_vs_recent_winner)	1
gemini_2_5_flash	(all)	time_dependent_or_definition(city_vs_municipality)	1
gemini_2_5_flash	(all)	numeric_counting_convention	1
gemini_2_5_flash	(all)	likely_gold_error(BC_vs_AD)	1
gemini_2_5_flash	(all)	numeric_boundary/age_definition	1
gemini_2_5_flash	(all)	likely_gold_error(scope_mismatch)	1
gemini_2_5_flash	(all)	ambiguous_scope(Europe_vs_EU)	1
gemini_2_5_flash	(all)	ambiguous_reference(film)	1
gemini_2_5_flash	(all)	ambiguous_event_definition	1
gemini_2_5_flash	(all)	likely_gold_error(numeric_scale)	1
gemini_2_5_flash	(all)	alias_or_evaluation_strictness	1
gemini_2_5_flash	(all)	ambiguous_entity_mapping	1
gemini_2_5_flash	(all)	evaluation_strictness_or_rounding	1
gemini_2_5_flash	bamboogle	possible_gold_typo_or_alias	1
gemini_2_5_flash	bamboogle	outlier_vs_frontier_consensus	1
gemini_2_5_flash	bamboogle	likely_gold_error/outdated	1
gemini_2_5_flash	bamboogle	possible_gold_error_or_ambiguity	1
gemini_2_5_flash	bamboogle	likely_gold_outdated_or_definition_mismatch	1
gemini_2_5_flash	bamboogle	unclear_needs_manual_check	1
gemini_2_5_flash	bamboogle	likely_gold_typo	1
gemini_2_5_flash	bamboogle	ambiguous_definition(most_populous_capital)	1
gemini_2_5_flash	crag	time_dependent	16
gemini_2_5_flash	crag	ambiguous_definition(bond_girl)	1
gemini_2_5_flash	crag	ambiguous_definition	1
gemini_2_5_flash	crag	ambiguous_definition(popularity)	1
gemini_2_5_flash	crag	unclear_needs_manual_check	1
gemini_2_5_flash	crag	possible_gold_typo_or_alias	1
gemini_2_5_flash	crag	likely_gold_error(record_vs_recent_winner)	1
gemini_2_5_flash	crag	numeric_boundary/age_definition	1
gemini_2_5_flash	crag	possible_gold_error_or_ambiguity	1
gemini_2_5_flash	crag	outlier_vs_frontier_consensus	1
gemini_2_5_flash	hotpotqa	unclear_needs_manual_check	12
gemini_2_5_flash	hotpotqa	outlier_vs_frontier_consensus	8
gemini_2_5_flash	hotpotqa	possible_gold_error_or_ambiguity	5
gemini_2_5_flash	hotpotqa	unclear/needs_verification	4
gemini_2_5_flash	hotpotqa	likely_gold_error	2
gemini_2_5_flash	hotpotqa	possible_gold_typo_or_alias	1
gemini_2_5_flash	hotpotqa	ambiguous_time/context	1
gemini_2_5_flash	hotpotqa	ambiguous_location(HQ_vs_facility)	1
gemini_2_5_flash	hotpotqa	time_dependent_or_definition(city_vs_municipality)	1
gemini_2_5_flash	hotpotqa	ambiguous_reference(film)	1
gemini_2_5_flash	hotpotqa	likely_gold_error(numeric_scale)	1
gemini_2_5_flash	hotpotqa	alias_or_evaluation_strictness	1
gemini_2_5_flash	hotpotqa	ambiguous_entity_mapping	1
gemini_2_5_flash	hotpotqa	evaluation_strictness_or_rounding	1
gemini_2_5_flash	mintaka	likely_gold_error	8
gemini_2_5_flash	mintaka	possible_gold_error_or_ambiguity	3
gemini_2_5_flash	mintaka	time_dependent	3
gemini_2_5_flash	mintaka	outlier_vs_frontier_consensus	3
gemini_2_5_flash	mintaka	likely_gold_outdated	1
gemini_2_5_flash	mintaka	ambiguous_title(“second Metal Gear”)	1
gemini_2_5_flash	mintaka	unclear_needs_manual_check	1
gemini_2_5_flash	mintaka	numeric_counting_convention	1
gemini_2_5_flash	mintaka	likely_gold_error(BC_vs_AD)	1
gemini_2_5_flash	mintaka	likely_gold_error(scope_mismatch)	1
gemini_2_5_flash	mintaka	likely_gold_error/outdated	1
gemini_2_5_flash	mintaka	ambiguous_scope(Europe_vs_EU)	1
gemini_2_5_flash	mintaka	ambiguous_event_definition	1
