dataset	id	question	gold_answer	assistant_label	assistant_notes	stable_wrong_models	frontier_open_consensus_count	frontier_open_consensus_answer	model_dir__gemini_2_5_pro	stable_wrong__gemini_2_5_pro	open_correct__gemini_2_5_pro	consistency_equivalent__gemini_2_5_pro	open_answer__gemini_2_5_pro	assistive_answer__gemini_2_5_pro	open_correctness_reasoning__gemini_2_5_pro	consistency_reasoning__gemini_2_5_pro	model_dir__gemini_2_5_flash	stable_wrong__gemini_2_5_flash	open_correct__gemini_2_5_flash	consistency_equivalent__gemini_2_5_flash	open_answer__gemini_2_5_flash	assistive_answer__gemini_2_5_flash	open_correctness_reasoning__gemini_2_5_flash	consistency_reasoning__gemini_2_5_flash	model_dir__gpt_5_1	stable_wrong__gpt_5_1	open_correct__gpt_5_1	consistency_equivalent__gpt_5_1	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1	hand_review_label	hand_review_confidence	hand_review_notes	hand_review_suggested_action	hand_review_source
frames	139	"What is the name of the play written in May 2016 by a playwright who won the MacArthur Fellowship the same year as the poet who wrote ""Postcolonial Love Poem""?"	Skeleton Crew	frontier_consensus_vs_gold	All three frontier models agree on 'Pipeline' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash,gpt_5_1	3	Pipeline	gemini-2.5-pro	0	0	0	Pipeline	Skeleton Crew	"The prediction ""Pipeline"" contradicts the gold answer ""Skeleton Crew""."	"The two answers provide different play titles, ""Pipeline"" and ""Skeleton Crew"", which are not equivalent."	gemini-2.5-flash	1	0	1	Pipeline	Pipeline	"The prediction ""Pipeline"" contradicts the gold answer ""Skeleton Crew""."	Both answers are identical strings.	gpt-5.1	1	0.0	1.0	Pipeline	Pipeline	"The prediction ""Pipeline"" contradicts the gold answer ""Skeleton Crew""."	Both answers are identical strings.	needs_verification	low	Complex chain (MacArthur year + specific play month). Cannot validate offline whether gold 'Skeleton Crew' or consensus 'Pipeline' is intended without checking the linked entities.		cons31
frames	86	What medal did the woman who tied for 19th in the 2011 Pan American Games women's individual bowling event win as part of a women's bowling doubles team in the 2017 World Games?	Bronze medalist	frontier_consensus_vs_gold	All three frontier models agree on 'Gold' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gpt_5_1	3	Gold	gemini-2.5-pro	1	0	1	Gold	Gold	"The prediction ""Gold"" contradicts the gold answer ""Bronze medalist""."	Both answers are identical.	gemini-2.5-flash	0	0	0	Gold	silver	"The prediction ""Gold"" contradicts the gold answer ""Bronze medalist""."	"""Gold"" and ""silver"" are different medals and thus different facts."	gpt-5.1	1	0.0	1.0	gold	Gold	"The prediction ""gold"" contradicts the gold answer ""Bronze medalist""."	"Case normalization makes ""gold"" and ""Gold"" equivalent."	needs_verification	low	Medal color for the athlete at the 2017 World Games requires checking the event results; cannot verify offline.		cons31
hotpotqa	5a7d231555429909bec76986	La Barredora was a gang that declared war on the leader of the cartel based where?	Sinaloa	frontier_consensus_vs_gold	All three frontier models agree on 'Acapulco' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash	3	Acapulco	google-gemini-2-5-pro	0	0	0	Acapulco	Sinaloa	The gold answer states the cartel was based in 'Sinaloa', while the prediction states 'Acapulco'. These are different locations, leading to a contradiction.	The answers provide contradictory locations for the cartel's base.	google-gemini-2-5-flash	1	0	1	Acapulco	Mexico	The gold answer states the cartel was based in 'Sinaloa', while the prediction states 'Acapulco'. These are different locations, leading to a contradiction.	Answer B (Acapulco) is a city within the country mentioned in Answer A (Mexico). Answer B is a more specific but consistent location, which is considered equivalent.	gpt-5-1	0	0.0	0.0	Acapulco	Sinaloa, Mexico	The prediction 'Acapulco' contradicts the gold answer 'Sinaloa' regarding the location of the cartel's base.	The answers provide different locations (Sinaloa vs. Acapulco), which is a direct contradiction.	needs_verification	low	Requires checking the referenced cartel/leader location; cannot verify offline whether 'Sinaloa' or 'Acapulco' is intended.		cons31
hotpotqa	5a874fd15542996432c57260	What was the film debut of the actress who starred in Pandemonium?	"""Divorce American Style"""	frontier_consensus_vs_gold	All three frontier models agree on 'Carnal Knowledge' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gpt_5_1	3	Carnal Knowledge	google-gemini-2-5-pro	1	0	1	Carnal Knowledge	Carnal Knowledge	The prediction 'Carnal Knowledge' contradicts the gold answer 'Divorce American Style' regarding the film debut.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	Carnal Knowledge	Pocketful of Miracles	The gold answer states the film debut was 'Divorce American Style', while the prediction states it was 'Carnal Knowledge'. These are two different films, leading to a contradiction.	"The film debut of Carol Kane (the actress who starred in Pandemonium) was ""Carnal Knowledge"", which contradicts ""Pocketful of Miracles""."	gpt-5-1	1	0.0	1.0	Carnal Knowledge	Carnal Knowledge	The gold answer states the film debut was 'Divorce American Style', while the prediction states 'Carnal Knowledge'. These are two different films, leading to a contradiction.	Both answers are identical.	needs_verification	low	Film debut of the actress in Pandemonium requires confirming the actress and debut filmography; cannot verify offline.		cons31
musique	2hop__156702_51769	What is the life expectancy of the type of retriever named after the body of water the Patuxent River turns into?	average lifespan at 9.4 years	frontier_consensus_vs_gold	All three frontier models agree on '10–13 years' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gpt_5_1	3	10–13 years	gemini-2.5-pro	1	0	1	10–13 years	10-13 years	The gold answer states an average lifespan of 9.4 years. The prediction gives a range of 10-13 years. The lower bound of the prediction (10) is more than 5% different from the gold value (9.4) (|(10 - 9.4) / 9.4| ≈ 6.38%), exceeding the critical tolerance for numeric expressions.	The numeric range and units are identical; the difference in dash character is a formatting detail.	gemini-2.5-flash	0	0	0	10-13 years	10-12 years	The gold answer states an average lifespan of 9.4 years. The predicted range is 10-13 years. The lower bound of the prediction (10 years) is outside the 5% tolerance of the gold value (9.4 years). 5% of 9.4 is 0.47, so the acceptable range for 9.4 years would be 8.93 to 9.87 years. The predicted range (10-13 years) does not overlap with this acceptable range.	The upper bounds of the life expectancy ranges (13 vs 12) are not within the 5% tolerance.	gpt-5.1	1	0.0	1.0	10–13 years	10-13 years	The predicted lifespan range (10-13 years) does not overlap with the gold answer (9.4 years). The lower bound of the prediction (10 years) is more than 5% different from the gold answer (0.6 / 9.4 = ~6.38%), exceeding the numeric tolerance.	The numeric range and units are identical; the difference in dash character is a formatting detail.	needs_verification	low	Chesapeake Bay Retriever life expectancy varies by source; cannot verify whether gold '9.4 years' or consensus '10–13' is correct offline.		cons31
musique	4hop1__13170_32392_823060_610794	In which county is the city sharing a border with the capitol of the first state to formally secede?	Richland County	frontier_consensus_vs_gold	All three frontier models agree on 'Lexington County' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	Lexington County	gemini-2.5-pro	1	0	1	Lexington County	Lexington County	The gold answer specifies 'Richland County' as the location. The predicted answer 'Lexington County' is a different county, thus contradicting the gold fact. While Lexington County does contain cities that border Columbia (the capital of South Carolina, the first state to secede), the gold answer explicitly states Richland County.	Both answers are identical.	gemini-2.5-flash	1	0	1	Lexington County	Lexington County; Lexington County	The gold answer specifies 'Richland County' as the location. The predicted answer 'Lexington County' is a different county, thus contradicting the gold fact. While Lexington County does contain cities that border Columbia (the capital of South Carolina, the first state to secede), the gold answer explicitly states Richland County.	Answer A matches one of the semicolon-separated alternatives in Answer B exactly.	gpt-5.1	1	0.0	1.0	Lexington County	Lexington County	"The predicted county ""Lexington County"" contradicts the gold county ""Richland County""."	Both answers are identical.	needs_verification	low	County adjacency around Columbia, SC depends on which bordering city is intended (West Columbia vs others) and county boundaries; needs external check.		cons31
musique	4hop1__399219_765799_282674_759393	What is the seat of the county sharing a border with the county in which Valley New School is located?	Green Bay	alias_or_evaluation_strictness	Consistency judge mentions alias/equivalence (e.g., anglicization); open correctness may be overly strict about surface-form differences.	gemini_2_5_pro	1	Chilton	gemini-2.5-pro	1	0	1	Chilton	Chilton	The gold answer identifies 'Green Bay' as the county seat, while the prediction identifies 'Chilton'. These are two distinct cities and county seats, representing different facts. The prediction does not convey the same essential fact as the gold answer.	Both answers are identical.	gemini-2.5-flash	0	0	0	Papillion	Oakland; Stockton; Modesto; Merced; Hollister; Santa Cruz; Redwood City	The predicted answer 'Papillion' is a different city and county seat than the gold answer 'Green Bay'. They refer to distinct geographical locations, leading to a factual contradiction.	'Papillion' is not present in the list of alternatives provided in Answer B.	gpt-5.1	0	1.0	0.0	Green Bay	Oshkosh	The predicted answer is identical to the gold answer.	'Green Bay' and 'Oshkosh' are distinct cities and do not refer to the same entity.	needs_verification	low	County-adjacency chain depends on which county hosts Valley New School and which neighboring county is selected; cannot validate seat (Green Bay vs Chilton) offline.		extra_frames_musique
frames	232	How much taller (in centimetres) is Mark O'Halloran (ex West Tigers rugby league player) than the London Broncos' player with the heritage number 341?	11cm	partial_frontier_consensus_all_wrong	Two frontier models agree on '0 cm' (normalized), but all are judged incorrect; could be gold issues, underspecification, or shared misconception.	gemini_2_5_pro	2	0 cm	gemini-2.5-pro	1	0	1	0 cm	0.0	The predicted value '0 cm' is not within 5% tolerance of the gold value '11cm'. The absolute difference is 11, while 5% of 11 is 0.55.	Both answers represent the numerical value zero. The unit 'cm' in answer_a is compatible with the numerical value in answer_b.	gemini-2.5-flash	0	0	0	8 cm	10.0	The prediction '8 cm' is not within 5% tolerance of the gold value '11 cm'. The absolute difference is 3, while the allowed tolerance is 0.55 (5% of 11).	The numerical values 8 and 10.0 are not within the allowed 5% (or minimum 0.5) tolerance. The difference is 2, which is 25% of 8.	gpt-5.1	0	0.0	0.0	0 cm	15.0	The predicted numerical value '0' is not within 5% tolerance of the gold value '11' (11 - 0 = 11; 5% of 11 is 0.55).	The numeric values 0 and 15.0 are not within the allowed tolerance (±5% or minimum 0.5).	needs_verification	low	Requires checking both players' recorded heights; could be a gold error or a model arithmetic/lookup error.		extra_frames_musique
frames	330	How many years older is the police force that covers the City of London, than the political party that came 4th in the 2019 European Parliament election in Lombardy? Write the number of years in binary	10101110	one_model_correct_disagreement	Frontier answers disagree (2-of-3 on '10011011'), but exactly one model is judged correct; likely a model error rather than true ambiguity.	gemini_2_5_pro	2	10011011	gemini-2.5-pro	1	0	1	10011011	10011011	The prediction '10011011' (decimal 155) does not match the gold '10101110' (decimal 174). Binary numbers must match exactly.	Both answers are identical binary strings.	gemini-2.5-flash	0	0	0	10011011	10101101	The prediction '10011011' (decimal 155) does not match the gold '10101110' (decimal 174). Binary numbers must match exactly.	The binary numbers 10011011 (decimal 155) and 10101101 (decimal 173) are not within the allowed 5% tolerance (18 > 7.75).	gpt-5.1	0	1.0	1.0	10101110	10101110	The prediction exactly matches the gold.	Both answers are identical binary strings.	needs_verification	low	Binary result depends on which political party is 4th in Lombardy (2019) and what founding year is used, plus the police-force founding year. Two models output 10011011 (155) vs gold 10101110 (174).	Record the intermediate years (founding dates) in the dataset/explanation.	extra_frames_musique
frames	459	David Fincher has two movies in the 90's that have numbers in the title. What is the number in the title of David Fincher's later-released movie multiplied by the ratio of the sum of all of the molars in an aardvark over the number of adult teeth in a dog?	13/3 or 4.333... (infinitely repeating decimal)	partial_frontier_consensus_all_wrong	Two frontier models agree on '2' (normalized), but all are judged incorrect; could be gold issues, underspecification, or shared misconception.	gpt_5_1	2	2	gemini-2.5-pro	0	0	0	2	3.33	The gold answer is 13/3 or approximately 4.333. The prediction is 2. The absolute difference between the gold and prediction is |4.333 - 2| = 2.333. The 5% tolerance for the gold value is 0.05 * 4.333 = 0.2166. Since 2.333 > 0.2166, the prediction falls outside the acceptable numerical tolerance.	The numeric value 3.33 is not within the ±5% tolerance of 2.	gemini-2.5-flash	0	0	0	2	0.0	The gold answer is 13/3 or approximately 4.333. The prediction is 2. The absolute difference between the gold and prediction is |4.333 - 2| = 2.333. The 5% tolerance for the gold value is 0.05 * 4.333 = 0.2166. Since 2.333 > 0.2166, the prediction falls outside the acceptable numerical tolerance.	The values 2 and 0.0 are not numerically equivalent, as 0.0 is not within the ±5% (min 0.5) tolerance of 2.	gpt-5.1	1	0.0	1.0	10/3	3.3333333333	The gold value is 13/3 (approx. 4.333) and the prediction is 10/3 (approx. 3.333). The absolute difference is 1, which is greater than 5% of the gold value (0.05 * 4.333 = 0.21665).	10/3 is approximately 3.3333333333, which is numerically equivalent to answer_b.	needs_verification	low	Multi-step arithmetic depends on animal-dentition facts (aardvark molars/teeth) and which Fincher title-number convention is used (Alien 3 vs Se7en). Gold vs model mismatch may stem from a factual constant in the prompt chain.		extra_frames_musique
frames	51	"What state is the home of the losing team of the World Series three years before ""Old Shufflefoot"" managed his team to victory? "	Illinois	partial_frontier_consensus_all_wrong	Two frontier models agree on 'Massachusetts' (normalized), but all are judged incorrect; could be gold issues, underspecification, or shared misconception.	gpt_5_1	2	Massachusetts	gemini-2.5-pro	0	0	0	Massachusetts	Michigan	The predicted state 'Massachusetts' contradicts the gold state 'Illinois'.	"The states ""Massachusetts"" and ""Michigan"" are different."	gemini-2.5-flash	0	0	0	Michigan	New York	"The prediction ""Michigan"" contradicts the gold answer ""Illinois""."	"The states ""Michigan"" and ""New York"" are different, making the answers not equivalent."	gpt-5.1	1	0.0	1.0	Massachusetts	Massachusetts	The predicted state 'Massachusetts' contradicts the gold state 'Illinois'.	Both answers are identical.	needs_verification	low	Chain depends on identifying ‘Old Shufflefoot’ and the relevant World Series year; cannot validate offline.		extra_frames_musique
frames	584	Which political party held the most seats in the Leeds City Council election during the year that philosopher John Wall was born?	Conservatives held the most seats in the Leeds City Council election in 1965 when John Wall was born.	partial_frontier_consensus_all_wrong	Two frontier models agree on 'Labour Party' (normalized), but all are judged incorrect; could be gold issues, underspecification, or shared misconception.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	2	Labour Party	gemini-2.5-pro	1	0	1	Labour Party	Labour Party	"The prediction ""Labour Party"" directly contradicts the gold fact that the ""Conservatives"" held the most seats."	Both answers are identical.	gemini-2.5-flash	1	0	1	Labour	Labour Party	"The prediction ""Labour"" contradicts the gold fact ""Conservatives"" regarding the political party that held the most seats."	"""Labour"" and ""Labour Party"" refer to the same political entity; ""Party"" is an acceptable extra."	gpt-5.1	1	0.0	1.0	Labour Party	Labour Party	"The prediction ""Labour Party"" directly contradicts the gold fact that the ""Conservatives"" held the most seats."	Both answers are identical.	needs_verification	low	Leeds council seat counts for the specific election-year require external lookup; cannot validate offline whether gold or model party is correct.		extra_frames_musique
frames	761	How many ballets did Frederick Ashton choreograph by the time he was 25 years old?	8	partial_frontier_consensus_all_wrong	Two frontier models agree on '5' (normalized), but all are judged incorrect; could be gold issues, underspecification, or shared misconception.	gemini_2_5_pro	2	5	gemini-2.5-pro	1	0	1	5	5	The prediction '5' does not match the gold '8'. The difference (3) exceeds the 5% tolerance (0.4) for numerical values.	Both answers state the same number.	gemini-2.5-flash	0	0	0	4	0	The prediction '4' does not match the gold '8'. The difference (4) exceeds the 5% tolerance (0.4).	The numbers 4 and 0 are distinct and not within the allowed tolerance of ±5% (minimum 0.5).	gpt-5.1	0	0.0	0.0	5	6	The prediction '5' is not within 5% tolerance of the gold '8'. The difference is 3, which is 37.5% of 8.	The difference between 5 and 6 is 1, which exceeds the allowed 5% (0.25) or minimum 0.5 tolerance for numbers.	needs_verification	low	Frederick Ashton ballet count by age 25 depends on which works are counted as ballets and his birthdate; needs verification.		extra_frames_musique
frames	96	In which of the three Intertidal zones would you most likely find the Septifer bilocularis?	Low Intertidal Zone	partial_frontier_consensus_all_wrong	Two frontier models agree on 'Mid-intertidal zone' (normalized), but all are judged incorrect; could be gold issues, underspecification, or shared misconception.	gemini_2_5_pro	2	Mid-intertidal zone	gemini-2.5-pro	1	0	1	Mid-intertidal zone	Middle tide zone	"The prediction ""Mid-intertidal zone"" contradicts the gold answer ""Low Intertidal Zone""."	"""Mid"" and ""Middle"" are synonymous, and ""intertidal zone"" and ""tide zone"" refer to the same concept."	gemini-2.5-flash	0	0	0	Mid-intertidal zone	Low Intertidal Zone	"The prediction ""Mid-intertidal zone"" contradicts the gold answer ""Low Intertidal Zone""."	"The specified intertidal zones are different (""Mid-intertidal zone"" vs ""Low Intertidal Zone"")."	gpt-5.1	0	0.0	0.0	middle intertidal zone	low tide zone	"The prediction ""middle intertidal zone"" contradicts the gold answer ""Low Intertidal Zone""."	"""middle intertidal zone"" and ""low tide zone"" refer to different zones."	needs_verification	low	Species-to-intertidal-zone mapping requires domain knowledge; cannot validate offline.		extra_frames_musique
musique	2hop__144317_120065	What year did the city were Hans-Joachim Merker was born end?	1738	partial_frontier_consensus_all_wrong	Two frontier models agree on '1945' (normalized), but all are judged incorrect; could be gold issues, underspecification, or shared misconception.	gemini_2_5_flash	2	1945	gemini-2.5-pro	0	0	0	1945	1990	The question asks for a year. The predicted year '1945' does not match the gold year '1738'. Years have zero tolerance and must match exactly.	Years require exact match; 1945 ≠ 1990.	gemini-2.5-flash	1	0	1	1945	1945	The question asks for a year. The predicted year '1945' does not match the gold year '1738'. Years have zero tolerance and must match exactly.	Both answers are identical.	gpt-5.1	0	0.0	0.0	1939	It has not ended as of 2022	The predicted year (1939) does not match the gold year (1738). Years have zero tolerance and must match exactly.	Answer A states the city ended in 1939, while Answer B states it has not ended as of 2022, which is a direct contradiction.	needs_verification	low	Question is ill-formed (‘What year did the city … end?’). Likely a templating/annotation issue; cannot validate offline.	Rewrite to a concrete event (e.g., city dissolved/annexed) and specify the city entity.	extra_frames_musique
